partida_id,rodata,mandante,visitante,formacao_mandante,formacao_visitante,vencedor,mandante_Placar,visitante_Placar,mandante_rodata,mandante_clube,mandante_chutes_no_alvo,mandante_posse_de_bola,mandante_passes,mandante_faltas,mandante_cartao_amarelo,mandante_cartao_vermelho,mandante_impedimentos,mandante_escanteios,visitante_rodata,visitante_clube,visitante_chutes_no_alvo,visitante_posse_de_bola,visitante_passes,visitante_faltas,visitante_cartao_amarelo,visitante_cartao_vermelho,visitante_impedimentos,visitante_escanteios
4607,1,Fluminense,Figueirense,Formação Desconhecida,Formação Desconhecida,Fluminense,3,0,1,Fluminense,0,Porcentagem Desconhecida,0,0,0,0,0,0,1,Figueirense,0,Porcentagem Desconhecida,0,0,0,0,0,0
4608,1,Internacional,Vitoria,Formação Desconhecida,Formação Desconhecida,Internacional,1,0,1,Internacional,0,Porcentagem Desconhecida,0,0,0,0,0,0,1,Vitoria,0,Porcentagem Desconhecida,0,0,0,0,0,0
4612,1,Bahia,Cruzeiro,Formação Desconhecida,Formação Desconhecida,Cruzeiro,1,2,1,Bahia,0,Porcentagem Desconhecida,0,0,0,0,0,0,1,Cruzeiro,0,Porcentagem Desconhecida,0,0,0,0,0,0
4611,1,Sao Paulo,Botafogo-RJ,Formação Desconhecida,Formação Desconhecida,Sao Paulo,3,0,1,Sao Paulo,0,Porcentagem Desconhecida,0,0,0,0,0,0,1,Botafogo-RJ,0,Porcentagem Desconhecida,0,0,0,0,0,0
4610,1,Athletico-PR,Gremio,Formação Desconhecida,Formação Desconhecida,Athletico-PR,1,0,1,Athletico-PR,0,Porcentagem Desconhecida,0,0,0,0,0,0,1,Gremio,0,Porcentagem Desconhecida,0,0,0,0,0,0
4615,1,Santos,Sport,Formação Desconhecida,Formação Desconhecida,-,1,1,1,Santos,0,Porcentagem Desconhecida,0,0,0,0,0,0,1,Sport,0,Porcentagem Desconhecida,0,0,0,0,0,0
4616,1,Criciuma,Palmeiras,Formação Desconhecida,Formação Desconhecida,Palmeiras,1,2,1,Criciuma,0,Porcentagem Desconhecida,0,0,0,0,0,0,1,Palmeiras,0,Porcentagem Desconhecida,0,0,0,0,0,0
4618,2,Palmeiras,Fluminense,Formação Desconhecida,Formação Desconhecida,Fluminense,0,1,2,Palmeiras,0,Porcentagem Desconhecida,0,0,0,0,0,0,2,Fluminense,0,Porcentagem Desconhecida,0,0,0,0,0,0
4620,2,Vitoria,Athletico-PR,Formação Desconhecida,Formação Desconhecida,-,2,2,2,Vitoria,0,Porcentagem Desconhecida,0,0,0,0,0,0,2,Athletico-PR,0,Porcentagem Desconhecida,0,0,0,0,0,0
4622,2,Cruzeiro,Sao Paulo,Formação Desconhecida,Formação Desconhecida,-,1,1,2,Cruzeiro,0,Porcentagem Desconhecida,0,0,0,0,0,0,2,Sao Paulo,0,Porcentagem Desconhecida,0,0,0,0,0,0
4619,2,Botafogo-RJ,Internacional,Formação Desconhecida,Formação Desconhecida,-,2,2,2,Botafogo-RJ,0,Porcentagem Desconhecida,0,0,0,0,0,0,2,Internacional,0,Porcentagem Desconhecida,0,0,0,0,0,0
4621,2,Corinthians,Flamengo,Formação Desconhecida,Formação Desconhecida,Corinthians,2,0,2,Corinthians,0,Porcentagem Desconhecida,0,0,0,0,0,0,2,Flamengo,0,Porcentagem Desconhecida,0,0,0,0,0,0
4626,2,Sport,Chapecoense,Formação Desconhecida,Formação Desconhecida,Sport,2,1,2,Sport,0,Porcentagem Desconhecida,0,0,0,0,0,0,2,Chapecoense,0,Porcentagem Desconhecida,0,0,0,0,0,0
4623,2,Figueirense,Bahia,Formação Desconhecida,Formação Desconhecida,Bahia,0,2,2,Figueirense,0,Porcentagem Desconhecida,0,0,0,0,0,0,2,Bahia,0,Porcentagem Desconhecida,0,0,0,0,0,0
